name,weighted_pv
村上虹郎,109638.2949569687
東山紀之,34125.626625787416
東野幸治,24929.860549325833
松たか子,45214.1047779187
松下奈緒,34031.46151791818
松下洸平,100002.40471316403
松下由樹,28013.57895668283
松丸亮吾,27975.533705079677
松井愛莉,26936.102152812175
松井玲奈,38409.600762433205
松坂慶子,44236.837985410966
松坂桃李,95707.57698897047
松山ケンイチ,42255.29239900796
松岡修造,19706.920552554348
松岡昌宏,24974.68790036819
松岡茉優,66589.48172861121
松島花,13771.752123260418
松嶋尚美,19302.6525880275
松嶋菜々子,69139.81557153632
松平健,75209.92986884466
松本まりか,75753.48781404001
松本人志,60987.94547356698
松本伊代,23359.562557161793
松本幸四郎,4563.296467506048
松本潤,63921.96566068757
松本穂香,35791.67143623397
松本若菜,196356.98697398082
松村北斗,95422.84000808213
松田るか,17922.73835235196
松田翔太,29627.026526036767
松田聖子,66782.50052505333
松田龍平,33576.2549874613
松重豊,126262.14758806911
松雪泰子,54605.730800393794
松風理咲,4707.907117517253
板垣李光人,165328.92564810318
板垣瑞生,24764.30587366184
板尾創路,19597.458799311607
板谷由夏,38356.04346954295
林修,21780.737432837643
林遣都,67116.41593946751
柄本佑,70332.15871938689
柄本明,39153.57640375203
柄本時生,36851.378735204686
柏木由紀,42672.82997741093
染谷将太,67049.66446463158
染野有来,4178.666317882704
柳ゆり菜,21502.55229923516
柳原可奈子,11391.118680947024
柳楽優弥,45422.66714589891
柳沢慎吾,19658.171184397223
柳葉敏郎,29407.581034727464
柴咲コウ,170317.88359844006
柴田理恵,9714.980022033502
栗山千明,45893.45264224502
桃井かおり,36415.24064255946
桐山漣,44934.81717009112
桐谷健太,26008.889107346895
桐谷美玲,42038.02017763007
桑田佳祐,96095.1307803715
桜井ユキ,78174.47176408758
桜井日奈子,31406.45823863037
桜庭ななみ,26006.22254904058
桜田ひより,117121.90250474504
桜田通,21607.845512513857
梅沢富美男,23281.49025454578
森七菜,67599.64029103203
森口瑤子,56812.755036234325
森尾由美,29793.37193561657
森山未來,26854.919239027615
森崎ウィン,80639.5710615243
森川葵,48053.20430068134
森星,22106.98253966631
森泉,35178.396631757874
森田想,3371.579409591974
森田望智,29461.94923978531
森絵梨佳,6582.39539173148
森高千里,54382.005015353425
椎名桔平,22365.625372041304
椿鬼奴,16325.20627265138
榊原郁恵,60180.68626383903
榮倉奈々,54994.02509462888
樋口可南子,13652.63075064964
横山だいすけ,19285.496908538127
横山裕,43861.44995122188
横浜流星,83920.39725412501
横澤夏子,17745.085372870908
横田真悠,49456.91884672508
橋本マナミ,25108.367635161183
橋本愛_(1996年生),57676.80644436477
橋本環奈,158330.40932891934
檀れい,52537.49276925113
櫻井海音,44546.171697902995
櫻井翔,61116.50853426159
武井壮,25340.564350836037
武田梨奈,16787.06053763333
武田玲奈,38019.229948431355
武田鉄矢,31037.7598429734
毎熊克哉,18021.402010641843
比嘉愛未,73637.32687532362
水原希子,36453.68433888825
水川あさみ,37703.52146817347
水谷果穂,16136.938257415359
水谷豊,72939.19016426941
水野真紀,26574.052041062256
水野美紀,41020.17775017595
永作博美,90852.30892836032
永山瑛太,32849.92184679237
永山絢斗,32216.514123375662
永瀬廉,143171.3095936626
永瀬正敏,21116.5083767411
永野芽郁,101699.57972248632
江口のりこ,51782.25542473239
江口洋介,40665.669480015975
池松壮亮,48403.743362503104
池田エライザ,127627.44467018337
池田美優,85590.20487513728
池脇千鶴,17770.977668436382
池間夏海,8688.20790465151
沢口靖子,44906.06539009865
沢村一樹,50028.33152069595
河北麻友子,34389.20222555359
河合優実,19178.081684265308
河合郁人,25265.86524937128
泉澤祐希,26282.23249605644
泉里香,47214.98373227557
波瑠,57339.1487997928
津田健次郎,177152.27172639171
津田寛治,23950.742706389072
浅利陽介,25033.87454976942
浅川梨奈,32786.13955339063
浅田真央,24250.095831863968
浅田美代子,13562.642455583285
浅田舞,16053.241169929794
浅野ゆう子,26281.183493325527
浅野忠信,79534.07739445198
浜田雅功,84506.93511389397
浜辺美波,98097.4043422808
浜野謙太,16243.245732476522
深川麻衣,24599.52676281921
深津絵里,34623.665528739686
深田恭子,39400.80934649447
清原果耶,138309.57039028662
清水ミチコ,10570.623676833835
清水尋也,18788.33506453316
清野菜名,95110.98849665157
渋谷凪咲,39459.75836159986
渡辺いっけい,23622.915955261455
渡辺えり,13994.744798062926
渡辺大知,42634.832283435724
渡辺満里奈,13586.153311260703
渡辺直美,33132.985939974955
渡辺真起子,10138.074647838102
渡辺謙,86248.73579854691
渡邊圭祐,24233.0764205102
渡部篤郎,23267.149930651634
温水洋一,9867.79151190254
満島ひかり,171707.71959197836
満島真之介,52366.56084871727
溝端淳平,25731.0072994519
滝川クリステル,22921.50959318941
滝沢カレン,51898.821200872764
滝藤賢一,42935.31629546106
澤部佑,24320.198511119037
濱正悟,24107.481219984093
濱田マリ,14006.862257748084
濱田岳,49795.518537720855
濱田龍臣,23993.004734413404
瀧内公美,42569.3182398523
瀧本美織,47606.69191743049
瀬戸康史,85337.35062592413
瀬戸朝香,23310.781337376487
片寄涼太,126689.71282327204
片山友希,33013.113234009
片岡愛之助_(6代目),16529.191395911654
片平なぎさ,21406.24627650694
片桐はいり,26133.84423487473
片桐仁,14708.489248759262
犬飼貴丈,52289.552619319984
玉城ティナ,47605.36131327917
玉山鉄二,17472.963988437663
玉木宏,48822.453949155955
玉森裕太,68648.63145340857
生瀬勝久,21699.170810231222
生田斗真,58012.587398634474
生田絵梨花,78518.839095875
