name,burst_count,sentiment_mean,news_count,pop_diff,aware_diff
優香,8,0.9,10,-3.0,-0.5999999999999943
光浦靖子,12,0.9583333333333334,24,-1.9000000000000004,-1.4000000000000057
光石研,3,1.0,6,1.799999999999999,1.6000000000000014
児嶋一哉,2,0.0,2,0.5,1.5999999999999943
八嶋智人,9,1.0,7,-2.3000000000000007,1.4000000000000057
八木莉可子,14,0.9615384615384616,26,2.3,5.300000000000001
六平直政,8,0.875,16,-1.3000000000000007,-0.6999999999999957
六角精児,14,0.9375,16,-0.9000000000000021,1.2000000000000028
内山理名,13,1.0,40,1.5999999999999996,-1.4000000000000057
内村光良,6,0.8235294117647058,17,-2.799999999999997,-0.7000000000000028
内田有紀,7,0.85,20,-0.6999999999999993,-0.4000000000000057
内田理央,7,1.0,14,1.0,3.6000000000000014
内藤剛志,5,0.9166666666666666,12,-1.3999999999999986,2.0999999999999943
内野聖陽,2,0.5,2,0.0,0.7999999999999972
出口夏希,15,0.92,25,-0.40000000000000013,-0.9000000000000004
出川哲朗,10,0.8484848484848485,33,3.200000000000003,0.5
別所哲也,8,1.0,10,-1.3999999999999986,3.5
前田敦子,11,0.8421052631578947,19,0.9000000000000004,-1.0999999999999943
前野朋哉,6,0.8181818181818182,11,1.0999999999999996,3.9000000000000057
劇団ひとり,13,0.675,40,-3.400000000000002,0.0
加瀬亮,3,,0,2.0,5.699999999999996
加藤小夏,15,0.9,20,-0.7,-0.5
加藤浩次,9,0.75,24,1.1000000000000014,0.29999999999999716
