name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3
結木滉星,10,293289,37,112.0,0.40000000000000013,2.3000000000000007,0.7,7.1,1.1,9.4,37.0,63.0,21.0,1.0,44.0,9.0,22.0,53.0,0.0021503324100245248,0.00023676806869986103,10.57215061230212,264128.1503007695,20.64153253812377
綾瀬はるか,3,22221,23,351.0,-0.6999999999999957,0.5,58.8,95.4,58.1,95.9,24.0,281.0,19.0,4.0,250.0,59.0,23.0,309.0,1.3195557996843453e-07,0.0017264878580552125,24.94470955604017,578435.4561507585,54.18093176174806
綾野剛,4,77412,57,250.0,-0.9000000000000021,1.6000000000000085,24.1,87.1,23.2,88.7,48.0,182.0,46.0,10.0,168.0,60.0,56.0,228.0,2.2885555622091564e-07,0.0017383401937368266,20.517285180341528,516634.3400997448,41.94279164870954
織田裕二,1,2102,0,51.0,-1.2000000000000028,0.9000000000000057,22.1,88.3,20.9,89.2,0.0,-18.0,0.0,0.0,13.0,28.0,0.0,41.0,3.540191545897446e-08,0.0002508475157524973,4.025559840060584,69915.20926105676,7.3951605384932195
美村里江,11,70497,20,47.0,0.6000000000000005,2.099999999999998,5.8,22.3,6.4,24.4,20.0,45.0,13.0,0.0,30.0,1.0,13.0,31.0,0.0,3.032340274355178e-05,5.903690488104864,116152.40922577733,10.246727561371385
羽生結弦,5,26046,30,416.0,-2.799999999999997,0.0,34.3,95.8,31.5,95.8,67.0,654.0,25.0,3.0,340.0,57.0,28.0,397.0,3.2367687639309454e-07,0.007773704010585117,39.343778051195486,1028514.8221883542,75.94222467315754
羽田美智子,12,29724,16,53.0,-0.5999999999999979,2.1000000000000014,17.2,60.9,16.6,63.0,22.0,49.0,12.0,0.0,32.0,3.0,12.0,35.0,1.3124932119238874e-08,9.613068189980961e-05,5.551727478945642,97371.39553689258,10.779701435388226
羽鳥慎一,12,65165,17,67.0,-0.8999999999999986,-0.9000000000000057,26.0,91.5,25.1,90.6,3.0,-9.0,6.0,7.0,22.0,34.0,13.0,56.0,7.087590544865883e-08,0.0009575832933575013,5.549812473383991,169156.48945166488,14.939829672785693
臼田あさ美,8,22375,8,55.0,-3.2,-1.8000000000000007,6.7,30.8,3.5,29.0,4.0,37.0,4.0,0.0,28.0,3.0,4.0,31.0,1.4074900740283436e-08,0.00013159012755488688,4.886979114467669,95842.89563283334,11.288769026234773
舘ひろし,6,29642,20,59.0,-3.0,2.1000000000000085,26.0,87.3,23.0,89.4,13.0,35.0,12.0,8.0,32.0,18.0,20.0,50.0,9.268180111161381e-08,0.000508183391738047,4.778053033948031,166363.05045990023,12.90888996436836
船越英一郎,2,12231,4,74.0,-1.0999999999999996,1.7000000000000028,11.2,87.3,10.1,89.0,6.0,49.0,4.0,0.0,40.0,18.0,4.0,58.0,2.2977064656427792e-08,9.904549316824951e-05,5.9995740844048315,134666.4039107755,15.095801144901671
芋生悠,6,9000,3,41.0,0.0,0.20000000000000018,0.7,3.0,0.7,3.2,-2.0,10.0,0.0,2.0,15.0,13.0,2.0,28.0,2.6121431260047838e-08,9.974002101531593e-05,3.5650373972448928,61863.39330333798,6.143938127927804
芦田愛菜,6,67348,23,199.0,-0.9000000000000057,1.1000000000000085,46.7,94.3,45.8,95.4,11.0,183.0,12.0,2.0,147.0,25.0,14.0,172.0,3.873418162809396e-07,0.01635607397161999,18.19741143237583,389946.281066173,39.645761010613434
芳根京子,7,44553,25,188.0,-2.5,-6.599999999999994,20.9,61.8,18.4,55.2,13.0,106.0,11.0,2.0,101.0,31.0,13.0,132.0,2.8468056814294775e-08,0.0007571845608550106,19.48865933403617,474652.31860633916,47.07203862420539
若月佑美,9,23507,7,67.0,-0.9000000000000001,-2.1000000000000014,2.7,11.3,1.8,9.2,10.0,113.0,6.0,1.0,56.0,1.0,7.0,57.0,1.974222694300307e-08,9.05858232791733e-05,5.050402158141876,128234.37512671005,13.751638901788366
