中村隼人,0.7,13.6,0.5,19.3,19,107,169,331,132,917,359
中村雅俊,15.6,75.2,17.3,82.8,11587,22435,16076,10583,16403,13810,12433
永山瑛太,19.6,70.4,18.1,72.7,13308,12684,11161,15361,16767,15757,13237
永山絢斗,8.8,44.8,8.5,49.4,9163,9167,8340,6242,11889,42542,22934
中山秀征,14.2,90.8,12.9,91.9,25017,31381,11125,9210,19843,10639,10678
名倉潤,18.1,89.4,17.3,91.7,7003,5025,17928,149450,6142,5067,5472
生瀬勝久,23.9,82.8,24.2,84.4,12260,7367,12747,6626,5508,10716,31315
成田凌,14.7,63.4,12.7,61.2,14595,11185,13634,20387,8810,9469,8561
南原清隆,15.9,88,14.7,92,8517,5773,7025,8314,16464,6884,5743
錦織圭,24.6,90.4,16.5,92.4,17810,17057,15880,12898,29416,23368,8564
西島秀俊,34.5,79.8,41.4,86.2,57335,148746,45636,46006,45242,95847,37741
西田敏行,33.5,91,31.9,92,16306,13232,13338,14584,24552,24848,19641
西畑大吾,5.5,35.8,6.2,38.4,27285,16949,14903,19078,15144,18758,12494
西村まさ彦,17.7,73.5,15.9,75.9,21454,5650,6771,8395,9617,12667,8788
二宮和也,36.5,95.2,35.2,96.3,84024,27326,27127,55448,50914,42336,28871
温水洋一,20.4,87.8,18.2,88.5,5484,4544,5202,3693,3917,3807,3838
野間口徹,11,68.7,13.1,74.9,11247,4600,14413,4569,5292,14493,19367
野村周平,6.9,58.8,6.4,57.9,20962,15058,77132,14655,14935,47946,23555
野村萬斎,15.6,79.1,16.1,82.5,7733,10825,10304,6449,7403,23873,20306
バカリズム,35.9,92.2,34.2,92.4,21867,25026,18005,26625,14697,63792,56976
萩原利久,0.9,12.2,1.2,13.3,48217,16541,15587,8952,20831,28196,23875
はじめしゃちょー,12.9,63.5,7.8,64.1,51121,25367,25747,16026,26909,29597,16323
長谷川博己,16.8,67.4,15.2,69.6,11335,12039,11832,12853,12687,12698,15604
羽鳥慎一,26,91.5,25.1,90.6,33219,13582,52428,12481,15562,18015,10430
羽生結弦,34.3,95.8,31.5,95.8,45877,24448,26575,29658,52121,25508,21399
濱正悟,0.5,5,0.4,4.6,2806,3082,3057,22354,40487,4526,2921
濱田岳,25.1,84.4,29.7,87.4,19161,20224,13369,11558,15035,80791,155340
濱田龍臣,4.8,50.1,5.8,50.8,29193,19085,10303,19691,6087,4716,5134
浜田雅功,36.8,96.3,35.9,98.4,27657,41345,53054,22928,27086,70815,49982
