name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
高橋茂雄,3.400000000000002,0.7000000000000028,0,193,0,0,21.9,91.7,25.3,92.4
高橋英樹,2.0999999999999996,2.5,0,189,0,0,15.6,87.4,17.7,89.9
高橋文哉,4.800000000000001,6.400000000000002,0,198,0,0,6,18.2,10.8,24.6
高橋光臣,1.0999999999999996,2.5,0,43,0,0,3.7,19.3,4.8,21.8
滝藤賢一,3.6999999999999993,8.599999999999994,0,91,0,0,19.5,74.2,23.2,82.8
武井壮,-3.9000000000000004,0.9000000000000057,0,104,0,0,17,91,13.1,91.9
竹内涼真,0.7000000000000028,6.400000000000006,0,168,0,0,23.4,82.3,24.1,88.7
武田鉄矢,-1.799999999999999,1.2999999999999972,0,82,0,0,17.7,92.9,15.9,94.2
竹中直人,-1.8999999999999986,2.799999999999997,0,141,0,0,29.9,86.4,28,89.2
竹野内豊,6.899999999999999,4.6000000000000085,0,146,0,0,31,84.1,37.9,88.7
舘ひろし,-3.0,2.1000000000000085,0,91,0,0,26,87.3,23,89.4
田中圭,-1.0,3.9000000000000057,0,210,0,0,25.1,85.1,24.1,89
田中卓志,-2.3000000000000007,0.9000000000000057,0,135,0,0,26,94.3,23.7,95.2
田中直樹,0.8000000000000007,0.9000000000000057,0,193,0,0,18.8,92,19.6,92.9
田中将大,-5.800000000000001,0.0,0,187,0,0,24.2,88.5,18.4,88.5
田中裕二,-1.8000000000000007,1.5999999999999943,0,143,0,0,16.8,92,15,93.6
田中要次,2.5,5.599999999999994,0,109,0,0,11.7,80.2,14.2,85.8
田辺誠一,-0.6999999999999993,3.3999999999999915,0,66,0,0,11.5,69.2,10.8,72.6
谷原章介,1.5999999999999996,4.6000000000000085,0,149,0,0,13.6,79.6,15.2,84.2
玉木宏,3.6999999999999993,2.8999999999999915,0,117,0,0,28.3,87.4,32,90.3
玉森裕太,4.6,7.799999999999997,0,210,0,0,11,67.8,15.6,75.6
