name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
なえなの,-0.5,4.600000000000001,178,202,190,12,3.2,17.7,2.7,22.3
奈緒,5.0,7.800000000000001,180,210,195,15,8.3,31.3,13.3,39.1
仲里依紗,-0.1999999999999993,1.4000000000000057,154,210,182,28,22.3,71.3,22.1,72.7
長井短,0.0,2.0,41,57,49,8,1.9,19.1,1.9,21.1
中川翔子,-3.1999999999999993,0.09999999999999432,150,210,180,30,31,91.2,27.8,91.3
中越典子,2.2,-2.299999999999997,37,43,40,3,5.1,53.5,7.3,51.2
永作博美,5.699999999999999,0.0,116,130,123,7,22.3,74,28,74
長澤まさみ,-8.700000000000003,-0.6999999999999886,179,203,191,12,50.1,93.1,41.4,92.4
中島セナ,-0.4,0.19999999999999973,41,53,47,6,0.4,3.2,0,3.4
中条あやみ,-2.299999999999997,4.099999999999994,170,180,175,5,23.9,66.2,21.6,70.3
中谷美紀,3.0,2.0,127,161,144,17,19.8,74.5,22.8,76.5
永野芽郁,2.299999999999997,2.299999999999997,176,210,193,17,32.7,74.2,35,76.5
